instrument_id,item_id,min_value,max_value,source_system
INSTR-PHQ9,PHQ9_Q1,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q2,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q3,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q4,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q5,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q6,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q7,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q8,0,3,survey_sim
INSTR-PHQ9,PHQ9_Q9,0,3,survey_sim
INSTR-GAD7,GAD7_Q1,0,3,survey_sim
INSTR-GAD7,GAD7_Q2,0,3,survey_sim
INSTR-GAD7,GAD7_Q3,0,3,survey_sim
INSTR-GAD7,GAD7_Q4,0,3,survey_sim
INSTR-GAD7,GAD7_Q5,0,3,survey_sim
INSTR-GAD7,GAD7_Q6,0,3,survey_sim
INSTR-GAD7,GAD7_Q7,0,3,survey_sim
INSTR-PROMIS29,PROMIS29_Q1,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q2,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q3,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q4,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q5,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q6,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q7,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q8,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q9,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q10,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q11,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q12,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q13,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q14,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q15,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q16,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q17,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q18,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q19,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q20,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q21,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q22,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q23,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q24,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q25,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q26,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q27,1,5,survey_sim
INSTR-PROMIS29,PROMIS29_Q28,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_D1,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_D2,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_D3,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_D4,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_D5,1,5,survey_sim
INSTR-EQ5D5L,EQ5D_VAS,0,100,survey_sim
